Algorithm,Qubits,Qiskit_2Q_Gates,Qiskit_Depth,Qiskit_Time(s),TKET_2Q_Gates,TKET_Depth,TKET_Time(s)
QAOA,16,228,96,0.0307,228,96,4.6239
QAOA,32,884,213,0.1005,884,213,21.4689
QAOA,64,3920,483,0.1207,3920,483,92.0129
QAOA,80,6096,573,0.8824,6096,573,140.1273
QAOA,96,8940,735,0.2703,8940,735,203.2844
QFT,16,238,118,0.0271,240,104,4.8593
QFT,32,686,246,0.0315,962,216,22.7522
QFT,64,1582,502,0.0592,2626,440,77.049
QFT,80,2030,630,0.0688,3458,552,84.9599
QFT,96,2478,758,0.0857,4290,664,105.7379
RANDOMCIRCUIT,16,895,450,0.0708,887,451,22.7335
RANDOMCIRCUIT,32,3605,1191,0.1304,3570,1176,101.2489
RANDOMCIRCUIT,64,14776,2559,0.4867,14662,2546,445.5936
RANDOMCIRCUIT,80,23441,3261,1.3638,23299,3252,691.8682
RANDOMCIRCUIT,96,33755,4050,1.4936,33556,4007,971.5665
