Algorithm,Qubits,Distributed_Depth_p100_QISKIT,Distributed_Depth_p100_TKET,Distributed_Depth_p3_QISKIT,Distributed_Depth_p3_TKET,Distributed_Depth_p30_QISKIT,Distributed_Depth_p30_TKET,E-Bit_Cost_QISKIT,E-Bit_Cost_TKET
QAOA,16,14096.0,14096.0,516.0,516.0,4296.0,4296.0,140.0,140.0
QAOA,32,57013.0,57013.0,1917.0,1917.0,17253.0,17253.0,568.0,568.0
QAOA,64,260083.0,260083.0,8271.0,8271.0,78363.0,78363.0,2596.0,2596.0
QAOA,80,400173.0,400173.0,12561.0,12561.0,120453.0,120453.0,3996.0,3996.0
QAOA,96,599135.0,599135.0,18687.0,18687.0,180255.0,180255.0,5984.0,5984.0
QFT,16,19118.0,19304.0,688.0,680.0,5818.0,5864.0,190.0,192.0
QFT,32,46446.0,74016.0,1632.0,2430.0,14106.0,22356.0,462.0,738.0
QFT,64,63502.0,167040.0,2392.0,5438.0,19402.0,50420.0,630.0,1666.0
QFT,80,63630.0,194352.0,2520.0,6366.0,19530.0,58692.0,630.0,1938.0
QFT,96,63758.0,208864.0,2648.0,6910.0,19658.0,63124.0,630.0,2082.0
RANDOMCIRCUIT,16,63950.0,63451.0,2355.0,2341.0,19500.0,19351.0,635.0,630.0
RANDOMCIRCUIT,32,249391.0,250076.0,8637.0,8643.0,75651.0,75846.0,2482.0,2489.0
RANDOMCIRCUIT,64,1033759.0,1026146.0,33495.0,33254.0,311919.0,309626.0,10312.0,10236.0
RANDOMCIRCUIT,80,1647361.0,1646952.0,52584.0,52563.0,496491.0,496362.0,16441.0,16437.0
RANDOMCIRCUIT,96,2381050.0,2381307.0,75360.0,75326.0,717150.0,717197.0,23770.0,23773.0
