Algorithm,Qubits,Compiler,Original_2Q_Gates,Original_Depth,E-Bit_Cost,QPU_Sizes,Distributed_Depth_p3,Distributed_Depth_p30,Distributed_Depth_p100
QAOA,80,QISKIT,6096,573,3996,"{0: 20, 1: 20, 2: 20, 3: 20}",12561,120453,400173
QAOA,64,TKET,3920,483,2596,"{0: 16, 1: 16, 2: 16, 3: 16}",8271,78363,260083
QAOA,64,QISKIT,3920,483,2596,"{0: 16, 1: 16, 2: 16, 3: 16}",8271,78363,260083
RANDOMCIRCUIT,64,QISKIT,14776,2559,10312,"{0: 16, 1: 16, 2: 16, 3: 16}",33495,311919,1033759
RANDOMCIRCUIT,64,TKET,14662,2546,10236,"{0: 16, 1: 16, 2: 16, 3: 16}",33254,309626,1026146
QFT,96,QISKIT,2478,758,630,"{0: 24, 1: 24, 2: 24, 3: 24}",2648,19658,63758
QFT,32,QISKIT,686,246,462,"{0: 8, 1: 8, 2: 8, 3: 8}",1632,14106,46446
QAOA,32,TKET,884,213,568,"{0: 8, 1: 8, 2: 8, 3: 8}",1917,17253,57013
QAOA,96,TKET,8940,735,5984,"{0: 24, 1: 24, 2: 24, 3: 24}",18687,180255,599135
QFT,16,QISKIT,238,118,190,"{0: 4, 1: 4, 2: 4, 3: 4}",688,5818,19118
QFT,64,TKET,2626,440,1666,"{0: 16, 1: 16, 2: 16, 3: 16}",5438,50420,167040
RANDOMCIRCUIT,32,QISKIT,3605,1191,2482,"{0: 8, 1: 8, 2: 8, 3: 8}",8637,75651,249391
QAOA,16,TKET,228,96,140,"{0: 4, 1: 4, 2: 4, 3: 4}",516,4296,14096
QAOA,80,TKET,6096,573,3996,"{0: 20, 1: 20, 2: 20, 3: 20}",12561,120453,400173
QFT,80,TKET,3458,552,1938,"{0: 20, 1: 20, 2: 20, 3: 20}",6366,58692,194352
RANDOMCIRCUIT,96,QISKIT,33755,4050,23770,"{0: 24, 1: 24, 2: 24, 3: 24}",75360,717150,2381050
QFT,16,TKET,240,104,192,"{0: 4, 1: 4, 2: 4, 3: 4}",680,5864,19304
QFT,64,QISKIT,1582,502,630,"{0: 16, 1: 16, 2: 16, 3: 16}",2392,19402,63502
QFT,96,TKET,4290,664,2082,"{0: 24, 1: 24, 2: 24, 3: 24}",6910,63124,208864
RANDOMCIRCUIT,80,QISKIT,23441,3261,16441,"{0: 20, 1: 20, 2: 20, 3: 20}",52584,496491,1647361
RANDOMCIRCUIT,80,TKET,23299,3252,16437,"{0: 20, 1: 20, 2: 20, 3: 20}",52563,496362,1646952
RANDOMCIRCUIT,16,TKET,887,451,630,"{0: 4, 1: 4, 2: 4, 3: 4}",2341,19351,63451
QAOA,96,QISKIT,8940,735,5984,"{0: 24, 1: 24, 2: 24, 3: 24}",18687,180255,599135
QAOA,32,QISKIT,884,213,568,"{0: 8, 1: 8, 2: 8, 3: 8}",1917,17253,57013
QAOA,16,QISKIT,228,96,140,"{0: 4, 1: 4, 2: 4, 3: 4}",516,4296,14096
RANDOMCIRCUIT,16,QISKIT,895,450,635,"{0: 4, 1: 4, 2: 4, 3: 4}",2355,19500,63950
QFT,32,TKET,962,216,738,"{0: 8, 1: 8, 2: 8, 3: 8}",2430,22356,74016
RANDOMCIRCUIT,32,TKET,3570,1176,2489,"{0: 8, 1: 8, 2: 8, 3: 8}",8643,75846,250076
RANDOMCIRCUIT,96,TKET,33556,4007,23773,"{0: 24, 1: 24, 2: 24, 3: 24}",75326,717197,2381307
QFT,80,QISKIT,2030,630,630,"{0: 20, 1: 20, 2: 20, 3: 20}",2520,19530,63630
